method,regime,n_seeds,warmup_episodes,num_agents,mean_return,std_return,mean_length,mean_q_lift,mean_value_shift_term,mean_gate,mean_raw_resid_norm,mean_correction_sq
q_greedy,body_mass_0.60,3,3,1,1279.6571890801758,169.13964075536174,460.4444444444444,0.3142486962212457,-0.15524681967276113,0.676837576995204,0.3517161082925482,0.08522096552625047
q_greedy,body_mass_1.50,3,3,1,1233.3847551627293,5.737906296564528,399.1111111111111,0.22165320162669266,-0.13657019642530274,0.44148024173422823,0.24295560850901246,0.04441029126456721
q_greedy,compound_hard,3,3,1,551.3115333828073,10.84709268222384,210.66666666666666,0.4162092094211356,-0.14281143552270634,0.8506077691132737,0.41825418270338655,0.1077519707292754
q_greedy,compound_mild,3,3,1,991.8119342413402,42.841667450561985,341.7777777777778,0.21065462453697978,-0.14369767408792267,0.43286893205404553,0.23497290363271164,0.04249642704286266
q_greedy,env_damping_0.60,3,3,1,1437.9339296976698,2.962323430650824,500.0,0.10209547932942709,-0.11719812689887153,0.306653925813599,0.2013664292564822,0.01820670145267685
q_greedy,env_damping_1.50,3,3,1,1460.3355527870965,1.0290742676811377,500.0,0.09270328097873264,-0.10870552232530384,0.2941179109399943,0.21778507411314382,0.01689340303127042
q_greedy,env_friction_0.60,3,3,1,874.4040092932131,39.77554640491618,299.22222222222223,0.3916437282933421,-0.1634109177988391,0.6920974405882574,0.34496902794129974,0.10095770898400447
q_greedy,env_friction_1.50,3,3,1,417.47820286399605,1.9565717462536327,165.11111111111111,0.6974869395305378,-0.2243537900869679,0.8068595873159451,0.4611052761982887,0.17365702677865488
q_greedy,nominal,3,3,1,1452.323179797034,2.778890153397935,500.0,0.101910885281033,-0.1127524142795139,0.3139949066368377,0.21463149238791726,0.019968102957361355
value_shift_qr,action_actuator_0.40,3,3,5,362.41354984345503,1.8005160906039368,154.04444444444445,0.46494836149611013,-0.34516450350511435,0.9968964331904089,0.7079688158184613,0.1611986662355528
value_shift_qr,action_actuator_0.60,3,3,5,841.6658971186836,19.24621051598651,298.3333333333333,0.3652396647446956,-0.04632353083276664,0.8199636224104979,0.37919406167535846,0.0962366974705456
value_shift_qr,action_bias_0.20,3,3,5,1085.4514145899193,27.66679788211633,353.11111111111114,0.4450876110431638,-0.16543823626786877,0.9953485844467042,0.5521750301900813,0.16141933012978546
value_shift_qr,action_noise_0.20,3,3,5,1450.0866930503207,6.16656266652101,500.0,0.38418870646158854,-0.29594046495225695,0.9873227998673962,0.5245016205726398,0.14702986028589396
value_shift_qr,body_mass_0.60,3,3,5,1389.089186326103,39.90043122662228,492.0888888888889,0.246628783407329,-0.21428642197597178,0.5827729681365019,0.2972365453468429,0.06747768189296087
value_shift_qr,body_mass_1.50,3,3,5,1225.27245496497,12.291934065779847,400.15555555555557,0.19595951490889996,0.0026755041705136162,0.4164340686091102,0.23350112060022118,0.043437037415081335
value_shift_qr,compound_hard,3,3,5,551.9461640393466,5.533822245727789,211.4888888888889,0.40312152375266913,-0.2047758902573595,0.863784532718686,0.4361161422426127,0.12466053119114621
value_shift_qr,compound_mild,3,3,5,1048.0491346308756,8.34885877596349,361.3777777777778,0.18487194445766886,-0.023015561493795248,0.45408112586140753,0.24152887805737797,0.04191245364125582
value_shift_qr,env_damping_0.60,3,3,5,1435.4522105959031,1.0459631935561278,500.0,0.09779421861436631,0.04375983751085069,0.3045704054194855,0.2044712403899266,0.020613991033084533
value_shift_qr,env_damping_1.50,3,3,5,1457.349783724082,1.0369560167566767,500.0,0.09195725029839409,0.056019262695312495,0.291433339795786,0.2132801073717988,0.020654518503509387
value_shift_qr,env_friction_0.60,3,3,5,910.737461040364,25.935044105800184,310.2666666666667,0.38310652666324935,-0.2549660100277274,0.6938212868808881,0.3492078080135698,0.10535619834222942
value_shift_qr,env_friction_1.50,3,3,5,431.9448477382127,5.336306896976687,169.13333333333335,0.5475309624582092,-0.7872581009793498,0.775583714725721,0.38535774921679944,0.15699477612694687
